ROAD,ROAD_NAME,COMMON_USAGE_NAME,START_SLK,END_SLK,CWY,START_TRUE_DIST,END_TRUE_DIST,NETWORK_TYPE,RA_NO,RA_NAME,LG_NO,LG_NAME,SPEED_LIMIT,ROUTE_NE_ID,OBJECTID,GlobalID,GEOLOCSTLength
1103823,Erina Wy,Erina Wy,0,0.18,Single,0,0.18,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,36688225,22633206,{B8F71C3F-97A1-4435-BA38-1CAB5AE434D0},0.00185299765375573
1103822,Denison Turn,Denison Turn,0,0.24,Single,0,0.24,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,36688223,22633207,{3C166EE2-AD24-4948-9E1A-815DDDFB2148},0.00242302437512165
1103814,Balin L,Balin L,0,0.077,Single,0,0.077,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,202319,22633208,{CC807F7C-7C89-488C-A764-25ED47A91486},0.000717358881528893
1103452,Hurst Trl,Hurst Trl,0,0.34,Single,0,0.34,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,220935,22633209,{637DF3EE-A4A5-406F-85AE-F878E363D672},0.0031582547395733
1103444,Tumut Pl,Tumut Pl,0,0.08,Single,0,0.08,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,243220,22633210,{CA12DAB2-A31A-43FB-B23A-E753D26C9AA0},0.000803314336293702
1101118,Lanrick Pl,Lanrick Pl,0,0.19,Single,0,0.19,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,224461,22633211,{11B3AAC6-8DEC-46B3-A5C2-970B16E7481D},0.00198820223494659
1101114,Danbury Cr,Danbury Cr,0,0.75,Single,0,0.75,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,211161,22633212,{94CFB4A7-4FD9-429C-930C-C037019518B3},0.00721295293349533
1100483,Seaton Pl,Seaton Pl,0,0.14,Single,0,0.14,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,238253,22633213,{45F282DC-07A7-467B-A30A-3905EDEE3AEF},0.00128751107247976
1108089,Spiny L,Spiny L,0,0.082,Single,0,0.082,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,486213200,22633214,{A072CFFE-D8A4-428D-A1AE-393FE6BEBDDF},0.000875262817672498
1108085,Polar L,Polar L,0,0.08,Single,0,0.08,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,486213176,22633215,{C1719DDD-CE60-48A3-851F-8FDE15FDF9BB},0.000725713442069251
1106922,Tuileries Wy,Tuileries Wy,0,0.193,Single,0,0.193,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,485592415,22633216,{CC190514-B2A1-44F6-8060-92A3FF5AB0F9},0.00184846423555744
1106656,Blackberry Dr,Blackberry Dr,0,0.2,Single,0,0.2,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,463174001,22633217,{4EC0322D-AB1B-424D-A9F0-83A1B9E1C09F},0.00205689720806812
1106467,Bourne Link,Bourne Link,0,0.17,Single,0,0.17,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,367164177,22633218,{54FA8268-7BE3-4970-9CCF-DCFCD8D8AE1A},0.00177207708179459
1106464,Winslow Br,Winslow Br,0,0.2,Single,0,0.2,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,454544096,22633219,{2D354D63-F72C-4191-B8C9-22F91576D50E},0.0020758022646664
1106112,Protea Wy,Protea Wy,0,0.17,Single,0,0.17,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,368516193,22633220,{1B324F13-5402-4829-AB16-694AF6E79E3D},0.00188750663708083
1105906,Corella Ch,Corella Ch,0,0.11,Single,0,0.11,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,198188625,22633221,{097EE73D-A87C-42D8-B5F6-8710880B3510},0.000985248286724278
1105902,Tobermory Cr,Tobermory Cr,0,0.38,Single,0,0.38,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,130450772,22633222,{08FC5F92-1386-443B-880A-2159FE59615A},0.00365667873773924
1105898,Dirleton Loop,Dirleton Loop,0,0.35,Single,0,0.35,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,130450729,22633223,{A770371E-7729-4F68-B50F-C4A0F7AC2E71},0.00360991982099854
1105393,Hatton L,Hatton L,0,0.18,Single,0,0.18,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,36657146,22633224,{ABE76315-5A93-4537-9382-A93E9B2E9A35},0.00186566444430746
1105390,Vann Ct,Vann Ct,0,0.07,Single,0,0.07,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,31994685,22633225,{679771E7-CFAA-4C27-8A68-F95BF8EEFC00},0.000623698739373048
1105386,Sistina Rd,Sistina Rd,0,0.41,Single,0,0.41,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,31869109,22633226,{1B1D8977-64E3-4179-BE44-DFA934890505},0.00411431890230719
1101646,Westminster Pl,Westminster Pl,0,0.11,Single,0,0.11,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,245586,22633227,{9EBC6A3B-79CB-47C8-BB8F-0E4BAD20867D},0.000909428391903398
1101640,Marylebone Ct,Marylebone Ct,0,0.06,Single,0,0.06,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,227263,22633228,{732BEBFE-DC62-4D91-BEF3-7E4E44C6EB89},0.000486477132042196
1100852,Rudkin Pl,Rudkin Pl,0.1,0.19,Single,0.1,0.19,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,237288,22633229,{0C79E3C8-4670-4EFD-9940-BCE58860BF95},0.000916148193995987
